Date,Block,Primary Type,Location Description,District
09/17/2019 02:40:00 PM,S CANAL ST,OTHER OFFENSE,DEPARTMENT STORE,Central District
09/17/2019 02:30:00 PM,N MC VICKER AVE,CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",Grand Central District
09/17/2019 02:15:00 PM,S CAMPBELL AVE,OTHER OFFENSE,RESIDENCE,Chicago Lawn District
09/17/2019 02:10:00 PM,W NORTH AVE,THEFT,DEPARTMENT STORE,Near North District
09/17/2019 02:00:00 PM,N LOCKWOOD AVE,ASSAULT,APARTMENT,Austin District
09/17/2019 01:57:00 PM,S UNION AVE,BATTERY,SIDEWALK,Morgan Park District
09/17/2019 01:40:00 PM,S DREXEL BLVD,ASSAULT,STREET,Wentworth District
09/17/2019 01:20:00 PM,S CALUMET AVE,DECEPTIVE PRACTICE,,Wentworth District
09/17/2019 01:02:00 PM,W THOMAS ST,NARCOTICS,SIDEWALK,Harrison District
09/17/2019 12:56:00 PM,S GREENWOOD AVE,OTHER OFFENSE,STREET,Calumet District
09/17/2019 12:45:00 PM,N STATE ST,THEFT,SMALL RETAIL STORE,Near North District
09/17/2019 12:30:00 PM,S BRAINARD AVE,THEFT,SMALL RETAIL STORE,South Chicago District
09/17/2019 12:25:00 PM,S KEDZIE AVE,NARCOTICS,"SCHOOL, PUBLIC, BUILDING",Ogden District
09/17/2019 12:15:00 PM,S UNION AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",Deering District
09/17/2019 12:00:00 PM,W VAN BUREN ST,THEFT,OTHER,Near West District
09/17/2019 11:57:00 AM,S HALSTED ST,THEFT,RESTAURANT,Morgan Park District
09/17/2019 11:40:00 AM,N HARDING AVE,NARCOTICS,VACANT LOT/LAND,Harrison District
09/17/2019 11:25:00 AM,N CLYBOURN AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Near North District
09/17/2019 11:15:00 AM,E 55TH ST,THEFT,RESTAURANT,Wentworth District
09/17/2019 11:12:00 AM,S VINCENNES AVE,BATTERY,SIDEWALK,Wentworth District
09/17/2019 11:00:00 AM,W 63RD ST,OTHER OFFENSE,RESIDENCE,Chicago Lawn District
09/17/2019 11:00:00 AM,E 71ST ST,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),Grand Crossing District
09/17/2019 10:35:00 AM,W ARMITAGE AVE,BATTERY,OTHER,Shakespeare District
09/17/2019 10:22:00 AM,N LA SALLE DR,THEFT,STREET,Near North District
09/17/2019 10:01:00 AM,S STEWART AVE,CRIMINAL TRESPASS,DEPARTMENT STORE,Gresham District
09/17/2019 10:00:00 AM,N PACIFIC AVE,THEFT,RESIDENCE,Jefferson Park District
09/17/2019 10:00:00 AM,N NORTHWEST HWY,OTHER OFFENSE,NURSING HOME/RETIREMENT HOME,Jefferson Park District
09/17/2019 09:40:00 AM,W IRVING PARK RD,THEFT,SIDEWALK,Albany Park District
09/17/2019 09:25:00 AM,N WABASH AVE,BATTERY,SIDEWALK,Central District
09/17/2019 09:00:00 AM,N CLEVELAND AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Near North District
09/17/2019 09:00:00 AM,W MONROE ST,THEFT,STREET,Central District
09/17/2019 09:00:00 AM,N WESTERN AVE,THEFT,APPLIANCE STORE,Town Hall District
09/17/2019 08:40:00 AM,N ST LOUIS AVE,PUBLIC PEACE VIOLATION,APARTMENT,Shakespeare District
09/17/2019 08:30:00 AM,W VAN BUREN ST,CRIMINAL DAMAGE,SIDEWALK,Central District
09/17/2019 08:14:00 AM,W MADISON ST,NARCOTICS,SIDEWALK,Harrison District
09/17/2019 08:00:00 AM,W ARDMORE AVE,MOTOR VEHICLE THEFT,STREET,Lincoln District
09/17/2019 08:00:00 AM,S LAWNDALE AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),Ogden District
09/17/2019 07:32:00 AM,W HURON ST,THEFT,GROCERY FOOD STORE,Near North District
09/17/2019 07:20:00 AM,S EMERALD AVE,BATTERY,RESIDENCE,Morgan Park District
09/17/2019 06:58:00 AM,S WHIPPLE ST,OTHER OFFENSE,APARTMENT,Chicago Lawn District
09/17/2019 06:29:00 AM,E 67TH ST,OTHER OFFENSE,RESIDENCE,Grand Crossing District
09/17/2019 06:00:00 AM,N MILWAUKEE AVE,THEFT,CONSTRUCTION SITE,Shakespeare District
09/17/2019 05:45:00 AM,W 35TH ST,THEFT,WAREHOUSE,Deering District
09/17/2019 05:00:00 AM,S AVENUE J,CRIMINAL TRESPASS,RESIDENCE,South Chicago District
09/17/2019 04:30:00 AM,S ESCANABA AVE,THEFT,STREET,South Chicago District
09/17/2019 04:00:00 AM,W PRYOR AVE,DECEPTIVE PRACTICE,RESIDENCE,Morgan Park District
09/17/2019 03:25:00 AM,S STATE ST,BURGLARY,RESTAURANT,Central District
09/17/2019 03:00:00 AM,S BRANDON AVE,OTHER OFFENSE,RESIDENCE,South Chicago District
09/17/2019 02:35:00 AM,S ELLIS AVE,ASSAULT,APARTMENT,Wentworth District
09/17/2019 02:00:00 AM,E 77TH ST,BATTERY,APARTMENT,South Chicago District
09/17/2019 01:37:00 AM,S STATE ST,OTHER OFFENSE,STREET,Calumet District
09/17/2019 01:25:00 AM,S DEARBORN ST,BATTERY,APARTMENT,Central District
09/17/2019 01:00:00 AM,W JACKSON BLVD,ASSAULT,STREET,Near West District
09/17/2019 12:36:00 AM,S RHODES AVE,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,Grand Crossing District
09/17/2019 12:25:00 AM,W 72ND ST,BATTERY,RESIDENCE,Englewood District
09/17/2019 12:05:00 AM,N CLAREMONT AVE,THEFT,RESIDENCE,Rogers Park District
09/17/2019 12:00:00 AM,S PHILLIPS AVE,BURGLARY,VACANT LOT/LAND,South Chicago District
09/16/2019 11:59:00 PM,W 25TH ST,ROBBERY,STREET,Ogden District
09/16/2019 11:47:00 PM,S JUSTINE ST,WEAPONS VIOLATION,ALLEY,Englewood District
09/16/2019 11:30:00 PM,N LAWNDALE AVE,ASSAULT,APARTMENT,Albany Park District
09/16/2019 11:26:00 PM,N WELLS ST,CRIM SEXUAL ASSAULT,SMALL RETAIL STORE,Near North District
09/16/2019 11:15:00 PM,E 78TH ST,THEFT,APARTMENT,South Chicago District
09/16/2019 11:00:00 PM,N MOZART ST,OTHER OFFENSE,RESIDENCE,Rogers Park District
09/16/2019 10:45:00 PM,N DOMINICK ST,THEFT,STREET,Near North District
09/16/2019 10:30:00 PM,S DORCHESTER AVE,ASSAULT,RESIDENCE PORCH/HALLWAY,Grand Crossing District
09/16/2019 10:21:00 PM,N MILWAUKEE AVE,THEFT,STREET,Shakespeare District
09/16/2019 10:15:00 PM,N ST LOUIS AVE,ARSON,VEHICLE NON-COMMERCIAL,Harrison District
09/16/2019 10:01:00 PM,S ASHLAND AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Englewood District
09/16/2019 10:00:00 PM,N HALSTED ST,THEFT,ALLEY,Town Hall District
09/16/2019 09:48:00 PM,W FULLERTON AVE,WEAPONS VIOLATION,STREET,Grand Central District
09/16/2019 09:30:00 PM,W FULLERTON AVE,CRIMINAL DAMAGE,CTA BUS STOP,Grand Central District
09/16/2019 09:22:00 PM,E 73RD PL,CRIMINAL DAMAGE,APARTMENT,Grand Crossing District
09/16/2019 09:13:00 PM,N PINE AVE,BATTERY,APARTMENT,Austin District
09/16/2019 09:00:00 PM,W QUINCY ST,THEFT,SIDEWALK,Austin District
09/16/2019 09:00:00 PM,N CENTRAL AVE,BURGLARY,APARTMENT,Austin District
09/16/2019 08:40:00 PM,S WENTWORTH AVE,BATTERY,POLICE FACILITY/VEH PARKING LOT,Wentworth District
09/16/2019 08:30:00 PM,W 107TH ST,BATTERY,SIDEWALK,Calumet District
09/16/2019 08:28:00 PM,S HALSTED ST,WEAPONS VIOLATION,SIDEWALK,Gresham District
09/16/2019 08:20:00 PM,W MADISON ST,BATTERY,ALLEY,Austin District
09/16/2019 08:05:00 PM,W ENGLEWOOD AVE,ASSAULT,OTHER,Englewood District
09/16/2019 08:00:00 PM,N KEDZIE AVE,MOTOR VEHICLE THEFT,STREET,Rogers Park District
09/16/2019 08:00:00 PM,W 47TH ST,THEFT,RESTAURANT,Deering District
09/16/2019 07:51:00 PM,S RACINE AVE,PUBLIC PEACE VIOLATION,PARK PROPERTY,Englewood District
09/16/2019 07:48:00 PM,W 95TH ST,ROBBERY,SMALL RETAIL STORE,Morgan Park District
09/16/2019 07:42:00 PM,S ARTESIAN AVE,INTERFERENCE WITH PUBLIC OFFICER,STREET,Chicago Lawn District
09/16/2019 07:30:00 PM,W 62ND ST,ASSAULT,APARTMENT,Chicago Lawn District
09/16/2019 07:30:00 PM,S MICHIGAN AVE,BATTERY,RESIDENCE,Central District
09/16/2019 07:18:00 PM,S PEORIA ST,CRIMINAL DAMAGE,RESIDENCE,Englewood District
09/16/2019 07:00:00 PM,S VERNON AVE,MOTOR VEHICLE THEFT,RESIDENCE,Calumet District
09/16/2019 07:00:00 PM,S CENTRAL PARK AVE,BURGLARY,ABANDONED BUILDING,Ogden District
09/16/2019 06:55:00 PM,E GRAND AVE,THEFT,GROCERY FOOD STORE,Near North District
09/16/2019 06:45:00 PM,W FULTON MARKET,THEFT,STREET,Near West District
09/16/2019 06:40:00 PM,S PRAIRIE AVE,CRIMINAL DAMAGE,RESIDENCE-GARAGE,Wentworth District
09/16/2019 06:30:00 PM,N KOSTNER AVE,THEFT,STREET,Grand Central District
09/16/2019 06:15:00 PM,S CLARK ST,THEFT,RESTAURANT,Central District
09/16/2019 06:00:00 PM,W IRVING PARK RD,THEFT,LIBRARY,Jefferson Park District
09/16/2019 06:00:00 PM,W WINONA ST,CRIMINAL DAMAGE,STREET,Jefferson Park District
09/16/2019 05:50:00 PM,S MASON AVE,DECEPTIVE PRACTICE,APARTMENT,Austin District
09/16/2019 05:45:00 PM,S HOXIE AVE,BATTERY,SIDEWALK,South Chicago District
09/16/2019 05:30:00 PM,W JACKSON BLVD,THEFT,RESIDENCE,Austin District
09/16/2019 05:20:00 PM,S WESTERN AVE,BATTERY,STREET,Chicago Lawn District
09/16/2019 05:10:00 PM,E 51ST ST,BATTERY,PARK PROPERTY,Wentworth District
09/16/2019 05:00:00 PM,W FULLERTON AVE,THEFT,ATHLETIC CLUB,Town Hall District
09/16/2019 05:00:00 PM,S COTTAGE GROVE AVE,BATTERY,SIDEWALK,Wentworth District
09/16/2019 04:55:00 PM,W FLOURNOY ST,BATTERY,APARTMENT,Harrison District
09/16/2019 04:45:00 PM,S CANAL ST,THEFT,DEPARTMENT STORE,Central District
09/16/2019 04:36:00 PM,W LAKE ST,ROBBERY,ALLEY,Harrison District
08/27/2019 03:46:00 PM,W 92ND ST,INTERFERENCE WITH PUBLIC OFFICER,STREET,Morgan Park District
08/27/2019 03:38:00 PM,S STATE ST,THEFT,APARTMENT,Calumet District
08/27/2019 03:30:00 PM,N SOUTHPORT AVE,CRIMINAL DAMAGE,STREET,Town Hall District
08/27/2019 03:21:00 PM,N LA SALLE ST,CRIMINAL TRESPASS,RESTAURANT,Central District
08/27/2019 03:00:00 PM,W ADDISON ST,CRIMINAL DAMAGE,APARTMENT,Albany Park District
08/27/2019 03:00:00 PM,S JEFFERSON ST,THEFT,OTHER,Central District
08/27/2019 02:45:00 PM,E 121ST PL,BURGLARY,RESIDENCE,Calumet District
08/27/2019 02:30:00 PM,S HALSTED ST,ASSAULT,SMALL RETAIL STORE,Gresham District
08/27/2019 02:19:00 PM,S LOTUS AVE,OTHER OFFENSE,STREET,Austin District
08/27/2019 02:09:00 PM,S STATE ST,THEFT,SMALL RETAIL STORE,Central District
