Date,Block,Primary Type,Location Description,District
08/26/2019 04:42:00 PM,S SANGAMON ST,SEX OFFENSE,RESIDENTIAL YARD (FRONT/BACK),Englewood District
08/26/2019 04:30:00 PM,W SUPERIOR ST,DECEPTIVE PRACTICE,APARTMENT,Near North District
08/26/2019 04:20:00 PM,W DIVERSEY AVE,THEFT,SMALL RETAIL STORE,Grand Central District
08/26/2019 04:10:00 PM,W WILSON AVE,ROBBERY,STREET,Town Hall District
08/26/2019 04:00:00 PM,N GRESHAM AVE,THEFT,STREET,Shakespeare District
08/26/2019 04:00:00 PM,W RANDOLPH ST,THEFT,RESTAURANT,Near West District
08/26/2019 04:00:00 PM,S CHAMPLAIN AVE,SEX OFFENSE,RESIDENCE,Grand Crossing District
08/26/2019 03:42:00 PM,S ASHLAND AVE,CRIMINAL TRESPASS,SMALL RETAIL STORE,Deering District
08/26/2019 03:30:00 PM,N LA SALLE ST,THEFT,OTHER,Central District
08/26/2019 03:25:00 PM,S DR MARTIN LUTHER KING JR DR,THEFT,CTA BUS STOP,Wentworth District
08/26/2019 03:05:00 PM,S CLARK ST,ASSAULT,OTHER,Central District
08/26/2019 03:00:00 PM,E 60TH ST,MOTOR VEHICLE THEFT,STREET,Grand Crossing District
08/26/2019 02:47:00 PM,N KILBOURN AVE,THEFT,RESIDENCE,Albany Park District
08/26/2019 02:37:00 PM,S STEWART AVE,THEFT,DEPARTMENT STORE,Gresham District
08/26/2019 02:25:00 PM,E OAK ST,THEFT,SMALL RETAIL STORE,Near North District
08/26/2019 02:00:00 PM,N KOSTNER AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),Grand Central District
08/26/2019 02:00:00 PM,N SPAULDING AVE,BURGLARY,APARTMENT,Albany Park District
08/26/2019 01:55:00 PM,E 55TH ST,BATTERY,CONVENIENCE STORE,Wentworth District
08/26/2019 01:45:00 PM,S DR MARTIN LUTHER KING JR DR,THEFT,CTA BUS STOP,Wentworth District
08/26/2019 01:30:00 PM,S CHAPPEL AVE,DECEPTIVE PRACTICE,SMALL RETAIL STORE,Grand Crossing District
08/26/2019 01:15:00 PM,W 69TH ST,ASSAULT,SIDEWALK,Englewood District
08/26/2019 01:07:00 PM,E 72ND ST,THEFT,RESIDENCE PORCH/HALLWAY,Grand Crossing District
08/26/2019 01:00:00 PM,S WENTWORTH AVE,CRIMINAL TRESPASS,RESIDENCE,Calumet District
08/26/2019 12:47:00 PM,E 47TH ST,ASSAULT,SMALL RETAIL STORE,Wentworth District
08/26/2019 12:36:00 PM,N HARDING AVE,THEFT,ALLEY,Grand Central District
08/26/2019 12:30:00 PM,W 19TH ST,BATTERY,APARTMENT,Deering District
08/26/2019 12:13:00 PM,N LINCOLN AVE,THEFT,GROCERY FOOD STORE,Lincoln District
08/26/2019 12:03:00 PM,W MAYPOLE AVE,BATTERY,SIDEWALK,Harrison District
08/26/2019 12:00:00 PM,N WOLCOTT AVE,DECEPTIVE PRACTICE,RESIDENCE,Shakespeare District
08/26/2019 12:00:00 PM,S WENTWORTH AVE,OTHER OFFENSE,STREET,Wentworth District
08/26/2019 11:50:00 AM,W HADDON AVE,BURGLARY,APARTMENT,Near West District
08/26/2019 11:43:00 AM,W MC LEAN AVE,ASSAULT,STREET,Shakespeare District
08/26/2019 11:35:00 AM,N SPRINGFIELD AVE,THEFT,APARTMENT,Harrison District
08/26/2019 11:24:00 AM,E 95TH ST,ROBBERY,OTHER,South Chicago District
08/26/2019 11:08:00 AM,N LINCOLN AVE,THEFT,GROCERY FOOD STORE,Lincoln District
08/26/2019 11:00:00 AM,S PULASKI RD,DECEPTIVE PRACTICE,RESIDENCE,Morgan Park District
08/26/2019 10:55:00 AM,N STATE ST,BATTERY,SMALL RETAIL STORE,Central District
08/26/2019 10:40:00 AM,S GREEN ST,BATTERY,APARTMENT,Gresham District
08/26/2019 10:30:00 AM,W GRENSHAW ST,CRIMINAL DAMAGE,STREET,Harrison District
08/26/2019 10:20:00 AM,E 113TH ST,BATTERY,APARTMENT,Calumet District
08/26/2019 10:00:00 AM,S CLAREMONT AVE,CRIMINAL TRESPASS,OTHER,Chicago Lawn District
08/26/2019 10:00:00 AM,E 73RD ST,THEFT,STREET,Grand Crossing District
08/26/2019 09:23:00 AM,S LAVERGNE AVE,OTHER OFFENSE,OTHER,Austin District
08/26/2019 09:00:00 AM,N CLARK ST,DECEPTIVE PRACTICE,RESTAURANT,Town Hall District
08/26/2019 09:00:00 AM,S CHAMPLAIN AVE,THEFT,RESIDENCE-GARAGE,Calumet District
08/26/2019 08:30:00 AM,E LAKE ST,THEFT,"SCHOOL, PUBLIC, BUILDING",Central District
08/26/2019 08:15:00 AM,W IRVING PARK RD,THEFT,SIDEWALK,Jefferson Park District
08/26/2019 08:00:00 AM,W HILL ST,CRIMINAL DAMAGE,STREET,Near North District
08/26/2019 07:50:00 AM,S UNION AVE,ASSAULT,STREET,Morgan Park District
08/26/2019 07:30:00 AM,W 29TH ST,THEFT,WAREHOUSE,Deering District
08/26/2019 07:00:00 AM,N OAK PARK AVE,THEFT,RESIDENCE PORCH/HALLWAY,Jefferson Park District
08/26/2019 06:50:00 AM,W PALMER ST,THEFT,STREET,Grand Central District
08/26/2019 06:40:00 AM,S SAGINAW AVE,CRIMINAL DAMAGE,STREET,South Chicago District
08/26/2019 06:15:00 AM,S LAFLIN ST,BURGLARY,RESIDENCE,Englewood District
08/26/2019 06:00:00 AM,N MENARD AVE,MOTOR VEHICLE THEFT,STREET,Jefferson Park District
08/26/2019 05:27:00 AM,S COLFAX AVE,BATTERY,RESIDENTIAL YARD (FRONT/BACK),South Chicago District
08/26/2019 05:00:00 AM,W 80TH PL,MOTOR VEHICLE THEFT,STREET,Gresham District
07/22/2019 07:05:00 PM,N MILWAUKEE AVE,ASSAULT,STREET,Shakespeare District
07/22/2019 07:00:00 PM,S MAY ST,ASSAULT,RESIDENCE,Calumet District
07/22/2019 06:49:00 PM,W FULTON ST,NARCOTICS,SIDEWALK,Austin District
07/22/2019 06:36:00 PM,N ARTESIAN AVE,CRIMINAL TRESPASS,OTHER,Rogers Park District
07/22/2019 06:30:00 PM,N KOSTNER AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Grand Central District
07/22/2019 06:13:00 PM,N KOSTNER AVE,BATTERY,SIDEWALK,Harrison District
07/22/2019 06:00:00 PM,W 94TH PL,CRIMINAL DAMAGE,APARTMENT,Gresham District
07/22/2019 06:00:00 PM,S CONSTANCE AVE,THEFT,STREET,Grand Crossing District
07/22/2019 06:00:00 PM,N STOCKTON DR,MOTOR VEHICLE THEFT,STREET,Near North District
07/22/2019 05:52:00 PM,N SHERIDAN RD,THEFT,APARTMENT,Rogers Park District
07/22/2019 05:35:00 PM,W FULLERTON AVE,ROBBERY,GAS STATION,Shakespeare District
07/22/2019 05:30:00 PM,W AINSLIE ST,WEAPONS VIOLATION,STREET,Albany Park District
07/22/2019 05:15:00 PM,S WENTWORTH AVE,CRIMINAL DAMAGE,RESIDENCE,Calumet District
07/22/2019 05:00:00 PM,S EWING AVE,OTHER OFFENSE,STREET,South Chicago District
07/22/2019 05:00:00 PM,W CHICAGO AVE,PUBLIC PEACE VIOLATION,RESIDENTIAL YARD (FRONT/BACK),Near West District
07/22/2019 04:55:00 PM,W 63RD ST,CRIMINAL TRESPASS,CTA STATION,Englewood District
07/22/2019 04:39:00 PM,W THOMAS ST,BATTERY,STREET,Harrison District
07/22/2019 04:25:00 PM,S DANTE AVE,BATTERY,RESIDENCE PORCH/HALLWAY,South Chicago District
07/22/2019 04:15:00 PM,S ASHLAND AVE,ASSAULT,RESIDENCE,Calumet District
07/22/2019 04:03:00 PM,W 51ST ST,OTHER OFFENSE,STREET,Deering District
07/22/2019 04:00:00 PM,N LEAVITT ST,DECEPTIVE PRACTICE,RESIDENCE,Town Hall District
07/22/2019 04:00:00 PM,N ASHLAND AVE,THEFT,GROCERY FOOD STORE,Town Hall District
07/22/2019 03:45:00 PM,S WABASH AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Grand Crossing District
07/22/2019 03:30:00 PM,W JACKSON BLVD,NARCOTICS,SIDEWALK,Harrison District
07/22/2019 03:15:00 PM,S MARSHFIELD AVE,THEFT,APARTMENT,Englewood District
07/22/2019 03:00:00 PM,E WACKER DR,THEFT,RESTAURANT,Central District
07/22/2019 03:00:00 PM,S HONORE ST,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),Englewood District
07/22/2019 02:55:00 PM,E 89TH ST,BATTERY,"SCHOOL, PUBLIC, GROUNDS",South Chicago District
07/22/2019 02:51:00 PM,W FOSTER AVE,OTHER OFFENSE,APARTMENT,Jefferson Park District
07/22/2019 02:45:00 PM,E 113TH PL,BATTERY,RESIDENCE,Calumet District
07/22/2019 02:30:00 PM,S DANTE AVE,THEFT,RESIDENCE-GARAGE,South Chicago District
07/22/2019 02:30:00 PM,W WEST END AVE,DECEPTIVE PRACTICE,APARTMENT,Austin District
07/22/2019 02:20:00 PM,S WABASH AVE,ASSAULT,STREET,Wentworth District
07/22/2019 02:05:00 PM,S MARSHFIELD AVE,THEFT,GROCERY FOOD STORE,Morgan Park District
07/22/2019 02:00:00 PM,W MONTROSE AVE,THEFT,RESIDENCE,Albany Park District
07/22/2019 02:00:00 PM,W CERMAK RD,THEFT,OTHER,Ogden District
07/22/2019 02:00:00 PM,W HOWARD ST,THEFT,OTHER,Rogers Park District
07/22/2019 02:00:00 PM,W HARRISON ST,CRIMINAL DAMAGE,STREET,Harrison District
07/22/2019 01:40:00 PM,N KOLMAR AVE,THEFT,STREET,Grand Central District
07/22/2019 01:28:00 PM,W FULLERTON AVE,THEFT,CTA TRAIN,Near North District
07/22/2019 01:10:00 PM,N RUSH ST,THEFT,STREET,Near North District
07/22/2019 01:00:00 PM,S CENTRAL PARK AVE,THEFT,RESIDENCE,Ogden District
07/22/2019 01:00:00 PM,S HALSTED ST,MOTOR VEHICLE THEFT,STREET,Englewood District
07/22/2019 12:46:00 PM,W 51ST ST,THEFT,CONVENIENCE STORE,Deering District
07/22/2019 12:30:00 PM,S EGGLESTON AVE,BATTERY,STREET,Gresham District
07/22/2019 12:25:00 PM,W 115TH ST,ASSAULT,STREET,Calumet District
07/22/2019 12:14:00 PM,S HOUSTON AVE,OFFENSE INVOLVING CHILDREN,STREET,South Chicago District
07/22/2019 12:00:00 PM,S HERMITAGE AVE,CRIM SEXUAL ASSAULT,RESIDENCE,Deering District
07/22/2019 12:00:00 PM,W WELLINGTON AVE,THEFT,STREET,Town Hall District
07/22/2019 12:00:00 PM,W LYNDALE ST,DECEPTIVE PRACTICE,SMALL RETAIL STORE,Shakespeare District
07/22/2019 11:50:00 AM,S CAMPBELL AVE,BATTERY,APARTMENT,Deering District
07/22/2019 11:27:00 AM,E 63RD ST,NARCOTICS,ALLEY,Grand Crossing District
07/22/2019 11:20:00 AM,W MAPLE ST,DECEPTIVE PRACTICE,APARTMENT,Near North District
07/22/2019 11:05:00 AM,S LA SALLE ST,CRIMINAL DAMAGE,RESIDENCE,Calumet District
07/22/2019 11:00:00 AM,N FAIRFIELD AVE,THEFT,OTHER,Lincoln District
07/22/2019 10:50:00 AM,W 60TH ST,THEFT,STREET,Englewood District
07/22/2019 10:40:00 AM,N SPRINGFIELD AVE,THEFT,RESIDENCE PORCH/HALLWAY,Albany Park District
07/22/2019 10:30:00 AM,S CLYDE AVE,CRIMINAL DAMAGE,RESIDENCE,South Chicago District
07/22/2019 10:20:00 AM,W MORSE AVE,THEFT,CTA TRAIN,Rogers Park District
07/22/2019 10:00:00 AM,E 32ND ST,THEFT,OTHER,Wentworth District
07/22/2019 10:00:00 AM,S BENSLEY AVE,ASSAULT,RESIDENCE,South Chicago District
07/22/2019 09:49:00 AM,N ROGERS AVE,ASSAULT,SIDEWALK,Rogers Park District
07/22/2019 09:30:00 AM,N STREETER DR,CRIMINAL TRESPASS,OTHER,Near North District
07/22/2019 09:10:00 AM,S EMERALD AVE,THEFT,STREET,Morgan Park District
07/22/2019 09:00:00 AM,S CARPENTER ST,MOTOR VEHICLE THEFT,STREET,Calumet District
07/22/2019 09:00:00 AM,S HOYNE AVE,BATTERY,APARTMENT,Deering District
07/22/2019 08:55:00 AM,S ASHLAND AVE,THEFT,GROCERY FOOD STORE,Near West District
07/22/2019 08:30:00 AM,S WABASH AVE,BATTERY,SIDEWALK,Central District
07/22/2019 08:15:00 AM,N KOSTNER AVE,ASSAULT,APARTMENT,Grand Central District
07/22/2019 08:00:00 AM,W 15TH ST,CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,Near West District
07/22/2019 08:00:00 AM,N BEACON ST,DECEPTIVE PRACTICE,APARTMENT,Town Hall District
07/22/2019 08:00:00 AM,W LAWRENCE AVE,THEFT,SIDEWALK,Albany Park District
07/22/2019 07:45:00 AM,N KARLOV AVE,CRIMINAL TRESPASS,OTHER,Grand Central District
07/22/2019 07:15:00 AM,S LA SALLE ST,BATTERY,STREET,Calumet District
07/22/2019 07:00:00 AM,N OAK PARK AVE,ASSAULT,CONSTRUCTION SITE,Jefferson Park District
07/22/2019 07:00:00 AM,S INGLESIDE AVE,ASSAULT,STREET,Gresham District
07/22/2019 06:10:00 AM,S WABASH AVE,DECEPTIVE PRACTICE,OTHER,Central District
07/22/2019 06:00:00 AM,N ORIOLE AVE,THEFT,STREET,Jefferson Park District
07/22/2019 05:30:00 AM,W BRADLEY PL,THEFT,STREET,Town Hall District
07/22/2019 05:04:00 AM,S HOYNE AVE,BURGLARY,PARKING LOT/GARAGE(NON.RESID.),Deering District
07/22/2019 05:00:00 AM,S CALUMET AVE,CRIMINAL TRESPASS,STREET,Central District
07/22/2019 04:26:00 AM,S WABASH AVE,BURGLARY,RESIDENCE-GARAGE,Gresham District
07/22/2019 04:00:00 AM,N MAGNOLIA AVE,BATTERY,ALLEY,Town Hall District
07/22/2019 03:30:00 AM,N HOMAN BLVD,THEFT,GAS STATION,Harrison District
07/22/2019 03:00:00 AM,S ESSEX AVE,CRIMINAL DAMAGE,STREET,South Chicago District
07/22/2019 02:48:00 AM,E 79TH ST,NARCOTICS,STREET,South Chicago District
07/22/2019 02:13:00 AM,S STONY ISLAND AVE,ROBBERY,GAS STATION,Grand Crossing District
07/22/2019 02:00:00 AM,S LUELLA AVE,THEFT,STREET,South Chicago District
07/22/2019 01:45:00 AM,E 67TH PL,ROBBERY,APARTMENT,Grand Crossing District
07/22/2019 01:29:00 AM,S STEWART AVE,WEAPONS VIOLATION,STREET,Gresham District
07/22/2019 01:15:00 AM,W 82ND ST,ASSAULT,RESIDENCE,Gresham District
07/22/2019 12:47:00 AM,S HAMLIN AVE,WEAPONS VIOLATION,SIDEWALK,Ogden District
07/22/2019 12:35:00 AM,S WOODLAWN AVE,BATTERY,APARTMENT,Grand Crossing District
07/22/2019 12:30:00 AM,W NORTH AVE,THEFT,STREET,Grand Central District
07/22/2019 12:20:00 AM,W WASHINGTON BLVD,THEFT,RESIDENCE,Austin District
07/22/2019 12:14:00 AM,E 79TH ST,NARCOTICS,VEHICLE NON-COMMERCIAL,Gresham District
07/22/2019 12:01:00 AM,S COLFAX AVE,DECEPTIVE PRACTICE,RESIDENCE,South Chicago District
07/22/2019 12:01:00 AM,W BERTEAU AVE,ASSAULT,RESIDENCE,Jefferson Park District
07/22/2019 12:00:00 AM,W 27TH ST,THEFT,RESIDENCE,Ogden District
07/21/2019 11:45:00 PM,N LAWNDALE AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),Grand Central District
07/21/2019 11:35:00 PM,W FOSTER AVE,THEFT,GROCERY FOOD STORE,Albany Park District
07/21/2019 11:30:00 PM,S MARSHFIELD AVE,BATTERY,APARTMENT,Gresham District
07/21/2019 11:02:00 PM,E 87TH ST,ASSAULT,SIDEWALK,South Chicago District
07/21/2019 11:00:00 PM,S LEAVITT ST,ASSAULT,CTA STATION,Deering District
07/21/2019 10:40:00 PM,W 69TH ST,ROBBERY,CTA PLATFORM,Englewood District
07/21/2019 10:30:00 PM,S DORCHESTER AVE,THEFT,STREET,Wentworth District
07/21/2019 10:20:00 PM,S ERIKSEN DR,BATTERY,LAKEFRONT/WATERFRONT/RIVERBANK,Wentworth District
07/21/2019 10:02:00 PM,S DR MARTIN LUTHER KING JR DR,NARCOTICS,STREET,Gresham District
07/21/2019 10:00:00 PM,W WASHINGTON ST,DECEPTIVE PRACTICE,APARTMENT,Central District
07/21/2019 10:00:00 PM,S KARLOV AVE,BATTERY,APARTMENT,Harrison District
07/21/2019 10:00:00 PM,N LARAMIE AVE,BATTERY,ALLEY,Austin District
07/21/2019 10:00:00 PM,N CENTRAL AVE,ASSAULT,APARTMENT,Austin District
07/21/2019 09:45:00 PM,N SACRAMENTO BLVD,BATTERY,APARTMENT,Near West District
07/21/2019 09:30:00 PM,W GARFIELD BLVD,CRIMINAL DAMAGE,STREET,Deering District
07/21/2019 09:25:00 PM,S BISHOP ST,BATTERY,RESIDENCE,Morgan Park District
07/21/2019 09:05:00 PM,N LINCOLN AVE,THEFT,RESTAURANT,Town Hall District
07/21/2019 09:00:00 PM,W BRIAR PL,THEFT,VEHICLE NON-COMMERCIAL,Town Hall District
07/21/2019 09:00:00 PM,W GARFIELD BLVD,BATTERY,RESIDENCE,Englewood District
07/21/2019 08:50:00 PM,S ESCANABA AVE,WEAPONS VIOLATION,STREET,South Chicago District
07/21/2019 08:40:00 PM,S MORGAN ST,CRIMINAL DAMAGE,RESIDENCE,Englewood District
07/21/2019 08:31:00 PM,N AVERS AVE,THEFT,OTHER,Albany Park District
07/21/2019 08:30:00 PM,S CARPENTER ST,BATTERY,APARTMENT,Gresham District
07/21/2019 08:20:00 PM,S MAPLEWOOD AVE,BATTERY,RESIDENCE PORCH/HALLWAY,Deering District
07/21/2019 08:00:00 PM,W 63RD ST,THEFT,STREET,Chicago Lawn District
07/21/2019 08:00:00 PM,W CORTEZ ST,BURGLARY,RESIDENCE-GARAGE,Harrison District
07/21/2019 07:52:00 PM,S INDEPENDENCE BLVD,ASSAULT,CONVENIENCE STORE,Harrison District
07/21/2019 07:35:00 PM,N LAVERGNE AVE,OTHER OFFENSE,APARTMENT,Grand Central District
07/21/2019 07:25:00 PM,W LAKE ST,ROBBERY,CTA PLATFORM,Harrison District
07/21/2019 07:15:00 PM,W FULTON ST,BATTERY,SIDEWALK,Austin District
07/21/2019 07:01:00 PM,W GRACE ST,OTHER OFFENSE,STREET,Town Hall District
07/21/2019 07:00:00 PM,S STATE ST,BATTERY,STREET,Gresham District
07/21/2019 06:54:00 PM,S PERRY AVE,BURGLARY,RESIDENCE,Calumet District
07/21/2019 06:45:00 PM,S WABASH AVE,THEFT,CTA PLATFORM,Central District
07/21/2019 06:35:00 PM,W 28TH ST,BATTERY,STREET,Ogden District
07/21/2019 06:30:00 PM,S ELLIS AVE,THEFT,STREET,Grand Crossing District
07/21/2019 06:13:00 PM,N MICHIGAN AVE,PUBLIC PEACE VIOLATION,SIDEWALK,Near North District
07/21/2019 06:00:00 PM,W SUPERIOR ST,CRIM SEXUAL ASSAULT,APARTMENT,Near North District
07/21/2019 06:00:00 PM,W FARWELL AVE,BURGLARY,APARTMENT,Rogers Park District
07/21/2019 05:45:00 PM,S INDEPENDENCE BLVD,THEFT,GAS STATION,Harrison District
07/21/2019 05:30:00 PM,W WESTGATE TER,BURGLARY,APARTMENT,Near West District
07/21/2019 05:23:00 PM,S KOSTNER AVE,ASSAULT,VEHICLE NON-COMMERCIAL,Harrison District
07/21/2019 05:00:00 PM,S WOODLAWN AVE,THEFT,VEHICLE NON-COMMERCIAL,Grand Crossing District
07/21/2019 05:00:00 PM,W 69TH ST,OTHER OFFENSE,CTA STATION,Englewood District
07/21/2019 04:45:00 PM,S INDIANA AVE,INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,Wentworth District
07/21/2019 04:30:00 PM,S MARSHFIELD AVE,OTHER OFFENSE,STREET,Gresham District
07/21/2019 04:17:00 PM,S COTTAGE GROVE AVE,OTHER OFFENSE,RESIDENCE,Calumet District
07/21/2019 04:00:00 PM,N HALSTED ST,BATTERY,RESIDENCE,Town Hall District
07/21/2019 03:58:00 PM,S RHODES AVE,CRIMINAL DAMAGE,STREET,Grand Crossing District
07/21/2019 03:50:00 PM,E 84TH PL,BATTERY,RESIDENCE,Gresham District
07/21/2019 03:33:00 PM,S ASHLAND AVE,THEFT,GROCERY FOOD STORE,Englewood District
07/21/2019 03:30:00 PM,W LAKE ST,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,Near West District
07/21/2019 03:15:00 PM,W HUBBARD ST,THEFT,STREET,Near West District
07/21/2019 03:00:00 PM,S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,APARTMENT,Wentworth District
07/21/2019 03:00:00 PM,S MARYLAND AVE,THEFT,HOSPITAL BUILDING/GROUNDS,Wentworth District
07/21/2019 02:50:00 PM,N STATE ST,DECEPTIVE PRACTICE,DEPARTMENT STORE,Central District
07/21/2019 02:30:00 PM,N TRIPP AVE,BURGLARY,"SCHOOL, PUBLIC, BUILDING",Albany Park District
07/21/2019 02:28:00 PM,E 103RD ST,OTHER OFFENSE,STREET,Calumet District
07/21/2019 02:15:00 PM,S HALSTED ST,ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,Englewood District
07/21/2019 02:00:00 PM,W 87TH ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Gresham District
07/21/2019 02:00:00 PM,S RIDGEWAY AVE,BATTERY,RESIDENCE,Ogden District
07/21/2019 02:00:00 PM,N ORCHARD ST,CRIMINAL TRESPASS,VEHICLE NON-COMMERCIAL,Town Hall District
06/13/2019 06:55:00 PM,W BELMONT AVE,ASSAULT,CTA STATION,Town Hall District
06/13/2019 06:40:00 PM,W MONTROSE AVE,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),Town Hall District
06/13/2019 06:30:00 PM,W 19TH ST,THEFT,HOSPITAL BUILDING/GROUNDS,Ogden District
06/13/2019 06:25:00 PM,S TRIPP AVE,BATTERY,STREET,Ogden District
06/13/2019 06:01:00 PM,S STATE ST,THEFT,DEPARTMENT STORE,Central District
06/13/2019 06:00:00 PM,E 71ST ST,BATTERY,SMALL RETAIL STORE,Grand Crossing District
06/13/2019 06:00:00 PM,W JACKSON BLVD,THEFT,PARK PROPERTY,Harrison District
06/13/2019 05:47:00 PM,W RANDOLPH ST,CRIMINAL DAMAGE,STREET,Central District
06/13/2019 05:44:00 PM,S PRINCETON AVE,WEAPONS VIOLATION,"SCHOOL, PUBLIC, GROUNDS",Englewood District
06/13/2019 05:35:00 PM,S RACINE AVE,CRIMINAL DAMAGE,STREET,Near West District
06/13/2019 05:27:00 PM,W LYNDALE ST,DECEPTIVE PRACTICE,,Shakespeare District
06/13/2019 05:20:00 PM,N SHERIDAN RD,THEFT,SMALL RETAIL STORE,Rogers Park District
06/13/2019 05:10:00 PM,S AVENUE O,THEFT,RESTAURANT,South Chicago District
06/13/2019 05:00:00 PM,S CALUMET AVE,THEFT,RESIDENCE,Calumet District
06/13/2019 04:56:00 PM,S HALSTED ST,CRIMINAL TRESPASS,SMALL RETAIL STORE,Gresham District
06/13/2019 04:32:00 PM,S KILDARE AVE,ASSAULT,SIDEWALK,Chicago Lawn District
06/13/2019 04:20:00 PM,S DRAKE AVE,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,Ogden District
06/13/2019 04:05:00 PM,S CALIFORNIA AVE,BATTERY,ALLEY,Chicago Lawn District
06/13/2019 04:00:00 PM,N WASHTENAW AVE,OTHER OFFENSE,STREET,Shakespeare District
06/13/2019 04:00:00 PM,N NARRAGANSETT AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),Grand Central District
06/13/2019 03:50:00 PM,S MANISTEE AVE,ASSAULT,ALLEY,South Chicago District
06/13/2019 03:45:00 PM,E 71ST ST,OTHER OFFENSE,RESIDENCE,Grand Crossing District
06/13/2019 03:32:00 PM,E 40TH ST,ROBBERY,VACANT LOT/LAND,Wentworth District
06/13/2019 03:20:00 PM,W THOMAS ST,BATTERY,APARTMENT,Austin District
06/13/2019 03:14:00 PM,E 79TH ST,ASSAULT,PARKING LOT/GARAGE(NON.RESID.),Gresham District
06/13/2019 03:00:00 PM,S ADA ST,ROBBERY,RESIDENCE,Englewood District
06/13/2019 03:00:00 PM,N KIMBALL AVE,CRIMINAL DAMAGE,OTHER,Albany Park District
06/13/2019 02:47:00 PM,N ASHLAND AVE,THEFT,SMALL RETAIL STORE,Town Hall District
06/13/2019 02:42:00 PM,W 79TH ST,CRIMINAL DAMAGE,RESIDENCE,Chicago Lawn District
06/13/2019 02:30:00 PM,S HALSTED ST,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),Deering District
06/13/2019 02:13:00 PM,W ARMITAGE AVE,MOTOR VEHICLE THEFT,STREET,Near North District
06/13/2019 02:00:00 PM,S INDIANA AVE,CRIMINAL DAMAGE,RESIDENCE-GARAGE,Gresham District
06/13/2019 02:00:00 PM,N MICHIGAN AVE,OTHER OFFENSE,OTHER,Central District
06/13/2019 02:00:00 PM,W IRVING PARK RD,BATTERY,RESTAURANT,Albany Park District
06/13/2019 01:46:00 PM,E 69TH ST,CRIMINAL DAMAGE,RESIDENCE,Grand Crossing District
06/13/2019 01:39:00 PM,N MILWAUKEE AVE,ASSAULT,SIDEWALK,Jefferson Park District
06/13/2019 01:30:00 PM,S RIDGEWAY AVE,BATTERY,STREET,Ogden District
06/13/2019 01:18:00 PM,N WHIPPLE ST,THEFT,ALLEY,Albany Park District
06/13/2019 01:11:00 PM,N HERMITAGE AVE,DECEPTIVE PRACTICE,RESIDENCE,Town Hall District
06/13/2019 01:00:00 PM,N DEARBORN ST,DECEPTIVE PRACTICE,SIDEWALK,Near North District
06/13/2019 01:00:00 PM,W MONROE ST,BATTERY,"SCHOOL, PRIVATE, BUILDING",Harrison District
06/13/2019 12:50:00 PM,N WABASH AVE,THEFT,RESTAURANT,Central District
06/13/2019 12:30:00 PM,S WOOD ST,BATTERY,STREET,Gresham District
06/13/2019 12:05:00 PM,N PULASKI RD,OTHER OFFENSE,STREET,Harrison District
06/13/2019 12:00:00 PM,S EXCHANGE AVE,OTHER OFFENSE,RESIDENTIAL YARD (FRONT/BACK),South Chicago District
06/13/2019 11:57:00 AM,E RANDOLPH ST,THEFT,OTHER,Central District
06/13/2019 11:40:00 AM,S HALSTED ST,BATTERY,STREET,Near West District
06/13/2019 11:30:00 AM,N CLINTON ST,THEFT,VEHICLE NON-COMMERCIAL,Near West District
06/13/2019 11:20:00 AM,S KARLOV AVE,ROBBERY,STREET,Ogden District
06/13/2019 11:10:00 AM,W HUBBARD ST,THEFT,ATHLETIC CLUB,Near North District
06/13/2019 11:00:00 AM,N MAGNOLIA AVE,CRIMINAL DAMAGE,STREET,Town Hall District
06/13/2019 10:45:00 AM,E 65TH ST,OTHER OFFENSE,APARTMENT,Grand Crossing District
06/13/2019 10:30:00 AM,S PRAIRIE AVE,MOTOR VEHICLE THEFT,STREET,Wentworth District
06/13/2019 10:20:00 AM,S PRAIRIE AVE,ASSAULT,STREET,Wentworth District
06/13/2019 10:00:00 AM,N HERMITAGE AVE,ASSAULT,ALLEY,Near West District
06/13/2019 10:00:00 AM,N CLYBOURN AVE,DECEPTIVE PRACTICE,BANK,Near North District
06/13/2019 09:50:00 AM,S ASHLAND AVE,CRIMINAL DAMAGE,STREET,Englewood District
06/13/2019 09:41:00 AM,E DELAWARE PL,OTHER OFFENSE,APARTMENT,Near North District
06/13/2019 09:24:00 AM,W NORTH AVE,OTHER OFFENSE,BARBERSHOP,Grand Central District
