Primary,Census,Count
ASSAULT,217.0,7.0
ASSAULT,218.0,40.0
ASSAULT,219.0,3.0
ASSAULT,220.0,19.0
ASSAULT,221.0,8.0
ASSAULT,222.0,9.0
ASSAULT,223.0,6.0
ASSAULT,224.0,36.0
ASSAULT,225.0,3.0
ASSAULT,226.0,31.0
ASSAULT,227.0,8.0
ASSAULT,228.0,5.0
ASSAULT,229.0,24.0
ASSAULT,230.0,10.0
ASSAULT,231.0,12.0
ASSAULT,232.0,3.0
ASSAULT,233.0,4.0
ASSAULT,234.0,15.0
ASSAULT,235.0,18.0
ASSAULT,236.0,45.0
ASSAULT,237.0,33.0
ASSAULT,238.0,8.0
ASSAULT,239.0,3.0
ASSAULT,240.0,17.0
ASSAULT,241.0,44.0
ASSAULT,242.0,8.0
ASSAULT,243.0,26.0
ASSAULT,244.0,61.0
ASSAULT,245.0,76.0
ASSAULT,246.0,63.0
ASSAULT,247.0,113.0
ASSAULT,248.0,19.0
ASSAULT,249.0,10.0
ASSAULT,250.0,4.0
ASSAULT,251.0,7.0
ASSAULT,252.0,58.0
ASSAULT,253.0,65.0
ASSAULT,254.0,19.0
ASSAULT,255.0,66.0
ASSAULT,256.0,3.0
ASSAULT,257.0,8.0
ASSAULT,258.0,15.0
ASSAULT,259.0,23.0
ASSAULT,260.0,21.0
ASSAULT,261.0,16.0
ASSAULT,262.0,14.0
ASSAULT,263.0,33.0
ASSAULT,264.0,2.0
ASSAULT,265.0,11.0
ASSAULT,266.0,13.0
ASSAULT,267.0,9.0
ASSAULT,268.0,7.0
ASSAULT,269.0,6.0
ASSAULT,270.0,7.0
ASSAULT,271.0,15.0
ASSAULT,272.0,2.0
ASSAULT,274.0,37.0
ASSAULT,275.0,14.0
ASSAULT,276.0,26.0
ASSAULT,277.0,33.0
ASSAULT,278.0,34.0
ASSAULT,279.0,28.0
ASSAULT,280.0,42.0
ASSAULT,281.0,58.0
ASSAULT,282.0,27.0
ASSAULT,283.0,63.0
